terang,gelap
tinggi,rendah
murah,mahal
bagus,jelek
Abadi,Sementara 
Abdi,Majikan 
Adem,Panas 
Agung,Kecil 
Ahli,Amatir 
Ahli,Awam 
Ajaib,Biasa
Ajal,Hidup
Akhir,Awal
Akhirat,Dunia 
Akrab,Renggang
Aktif,pasif 
Alami,Buatan 
Alas,Tutup
Asli,palsu 
Atas,bawah 
Awal,Akhir 
Badan,Jiwa
Badung,Baik 
Bahagia,Sedih 
Baik,buruk 
Banyak ,sedikit 
Baru ,Lama 
Benar ,Salah 
Berani ,Takut 
Berat ,Ringan 
Berisik ,Sepi
Bersih ,kotor 
Besar ,kecil 
Bicara ,Diam 
Cair ,Beku 
Cantik ,Jelak 
Cerdas ,Bodoh 
Cicil ,Kontan 
Cinta ,Benci 
Cowok ,Cewek 
Datar ,Turun naik 
Dekat ,jauh 
Dekil ,Bersih 
Depan ,Belakang 
Dobel ,Tunggal 
Dorong ,Tarik 
Duduk ,Berdiri 
Duka ,Suka 
Elastis ,Kaku 
Fakta ,Fiksi 
Fisik ,Roh, sukma 
Gadungan ,Asli
Gampang ,Susah  
Ganjil,enap 
Geger ,Damai, tenang 
Gelap ,Terang 
Gemuk ,Kurus 
Genap ,Ganjil 
Girang ,Sedih, sudah, duka 
Habis ,Tersisa 
Haram ,Halal, boleh Hayat ,Maut, mati Hemat ,Boros Hidup ,Mati Hitam ,Putih Homogen ,Heterogen Indah ,Jelek Individu ,Kelompok Inferior ,Superior Inflasi ,deflasi Irit ,Boros Jahat ,Baik Jantan ,betina Jasmani ,Rohani Jatuh ,Bangkit Jauh ,Dekat Jual ,Beli Jujur ,Bohong Kakak ,Adik Kanan ,Kiri Kasar ,Halus Kaya ,Miskin Kencang ,Pelan Keras ,Lunak Kering ,Basah Kosong ,Penuh Kota ,Desa Kuat ,Lemah Lahir ,Mati Laki-Laki ,Perempuan Lapar ,Kenyang Lemah ,kuat Luar ,Dalam Mahal ,murah Maju ,Mundur Masuk ,Keluar Matang ,Mentah Mujur ,Sial Naik ,turun Nikah ,Cerai Optimistis ,Pesimistis Jernih ,Keruh Jinak ,Buas  Contoh Kata Antonim dalam Bahasa Indonesia  Orisinal ,Palsu Padat ,Renggang Pahala ,Dosa Pakar ,Awam Paman ,Bibi Panas ,Dingin Pandai ,Bodoh Panjang ,pendek Pergi ,Pulang Plus ,Minus Positif ,Negatif Pro ,kontra Puncak ,Dasar Rajin ,Malas Ramai ,Sepi Remeh ,Penting Rutin ,Jarang Sabar ,Marah Sah ,Ilegal Salin ,Tempel Sama ,Beda Sama ,Beda Sebab ,Akibat Sebelum ,Sesudah Sedih ,gembira, senang Sehat ,Sakit Sempit ,Longgar Siang ,Malam Sukses ,Gagal Surga ,Neraka Tajam ,Tumpul Takut ,berani Tambah ,Kurang Tangguh ,Rentan Tangkap ,Lepas Tanjakan ,Turunan Tanya ,Jawab Tarik ,Ulur Tebal ,Tipis Terang ,gelap Tua ,Muda Umum ><Khusus Unduh ,Unggah Unik ,Biasa Untung ,Rugi Vertikal ,Horizontal Yakin ,Ragu Zalim ,Baik Berat ,ringan Bau ,wangi
